store_name,months_with_events,has_grist_any,has_grist_monthly,monthly_tasks_count
(仮)【定期清掃】いのこ板橋区赤塚店,2,1,1,1
(現場調査) とりとん　吉祥寺,1,1,0,0
20:30〜,1,0,0,0
Darts Bar As 日本橋茅場町店,1,0,0,0
Darts Bar a's 大塚店,1,0,0,0
Darts Bar a's 神楽坂店,1,0,0,0
Darts Bar a's 高円寺店,1,0,0,0
FAST OYSTERS,1,0,0,0
FAST OYSTERS　神楽坂,1,0,0,0
GOSSO(株) 0秒レモンサワーときわ亭池袋西口店,3,0,0,6
GOSSO(株) 0秒レモンサワーときわ亭池袋西口店　初回,1,0,0,2
GOSSO　0秒レモンサワー 仙台ホルモン焼肉酒場 ときわ亭 渋谷店,4,0,0,2
GOSSO　0秒レモンサワー　 深夜渋谷清掃,3,0,0,0
GOSSO　0秒レモンサワー　 深夜渋谷清掃 ３回目/３回,1,0,0,0
GOSSO　0秒レモンサワー　 深夜渋谷清掃　2回目/2回,1,0,0,0
GOSSO　0秒レモンサワー　 深夜渋谷清掃　梅岡定期清掃,1,0,0,0
Goonies 初回清掃,1,1,1,1
H VIEW 六本木(2日/2日分),1,0,0,0
H VIEW 六本木　寿司屋,1,0,0,0
H VIEW 六本木寿司屋店(1日/2日分),1,0,0,0
H VIEW株式会社　立川酒場 魚丸 南口店,4,1,1,42
H VIEW株式会社　立川酒場 魚丸 南口店　初回清掃,1,0,0,2
MASSIMOTTVIO 50000円(税込)に減額して清掃,1,0,0,0
Mahaloh Import Shop,2,0,0,0
Mahaloh Import Shop 清掃　梅岡案件清掃,3,0,0,0
Mahaloh Import Shop事務所エアコン清掃　梅岡案件清掃,1,0,0,0
PASTA of LIFE 新宿店様(メティウスフーズ),1,1,0,0
S BAR 渋谷,3,0,0,0
Sbar 清掃,1,0,0,0
ZANGIRI next,1,0,0,0
bar atomic エアコン分解洗浄,1,0,0,0
yakitaro 水道橋,1,0,0,0
※事前確認済み※　株式会社オン・ザ・プラネットニューサカナヤキオ,1,0,0,0
「現場調査」焼肉ここから大門店　株式会社ISSEI ダクト清掃,1,0,0,0
「現場調査」焼肉ここから茅場町店　株式会社ISSEI ダクト清掃,1,0,0,0
「現場調査」焼肉ここから錦糸町店　株式会社ISSEI ダクト清掃,1,0,0,0
『ZOOM』清掃チームミーティング,1,0,0,0
いのこ板橋区赤塚店,7,1,1,28
かきだ有楽町　清掃査察　志村さん,1,0,0,0
ざんぎりネクストエアコン分解清掃,1,0,0,0
でんがな桜木町 　ダクト清掃,1,0,0,0
とくやまホールディングス 分けとく山,3,1,1,7
とくやまホールディングス 分けとく山　初回清掃,1,1,1,4
やきとり大吉 桜丘店　査察,1,1,0,0
やきとり大吉 桜丘店　清掃,1,0,0,0
アサヒナフードイノベーション株式会社　銀座竹の庵5丁目本店　初回清掃,2,0,0,0
アトミック　bar,4,0,0,13
アトミック　bar 初回毎週清掃,1,0,0,1
アトミック　bar 毎週清掃,1,0,0,2
アークランドサービスホールディングス株式会社 打ち合わせ,1,0,0,0
イタリアン　スオーノ 飲食店清掃,1,0,0,0
エヴォルテ　清掃,1,0,0,0
オンザプラネットエアコン清掃　中島さん,1,0,0,0
オン・ザ・プラネット 魚焼男　バキューム,1,0,0,0
オン・ザ・プラネット 魚豪商コダマ大井町店,5,1,0,0
オン・ザ・プラネット 魚豪商コダマ大井町店　初回,1,1,0,0
シュハスカリア キ ボン! 新虎通りcore店,1,0,0,0
スモールズ オイスター&珍味 bar 不夜城,1,0,0,0
スモールズ オイスター&珍味 bar 不夜城 or ゴールデン街 隔月清掃,1,0,0,0
スモールズ オイスター&珍味 bar 不夜城 隔月清掃,3,0,0,0
スモールズ ゴールデン街,2,0,0,0
スモールズ ゴールデン街 シンクシリング,1,0,0,0
スモールズ ゴールデン街 トイレ詰まり高圧洗浄,1,0,0,0
スモールズ ゴールデン街 隔月清掃,2,0,0,0
スモールズ 不夜城,1,0,0,0
スモールズ 不夜城 冷蔵庫裏防鼠,1,0,0,0
スモールズ 店舗清掃,1,0,0,0
スモールズ　不夜城,1,0,0,0
タカネット　ロケ弁　三ノ輪　清掃,1,0,0,0
