event_index,tenpo_id,tenpo_name,matched_by,score,summary,old_address,new_address,old_map_url,new_map_url
2,TENPO#77f42e59665b,N,https://us04web.zoom.us/j/73801844851?pwd=72Me6QaFYwbzncuJxJovs8cn6cF86x.1,98.0,梅岡打合せ,,https://us04web.zoom.us/j/73801844851?pwd=72Me6QaFYwbzncuJxJovs8cn6cF86x.1,,
6,TENPO#0037,ラゾーナ川崎,〒212-0013 神奈川県川崎市幸区堀川町７２−１ ラゾーナ川崎プラザ,94.6,【スポット清掃】株式会社JCC 泡盛と沖縄地料理 龍泉ラゾーナ川崎店,,〒212-0013 神奈川県川崎市幸区堀川町７２−１ ラゾーナ川崎プラザ,,
7,TENPO#0018,西新宿店,デイジイ西新宿店 (DAISY),90.6,パン屋 デイジイ daisy西新宿,,"デイジイ西新宿店 (DAISY), 日本、〒160-0023 東京都新宿区西新宿６丁目１１−３ Dタワー西新宿 １階",,
11,TENPO#0077,ようさい,株式会社CatchBall 横浜　ようさい　設置業務,91.8,株式会社CatchBall 横浜　ようさい　設置業務,,"はせ茂 居酒屋レストラン 横浜, 日本、〒221-0822 神奈川県横浜市神奈川区西神奈川２丁目６−３ ハイアール富田",,
14,TENPO#0016,渋谷駅前店,CRAFT CHEESE MARKET 渋谷駅前店,92.4,CRAFT CHEESE MARKET 渋谷駅前店,,"CRAFT CHEESE MARKET 渋谷駅前店, 日本、〒150-0042 東京都渋谷区宇田川町２５−４ ダッキープラザ B1F",,
18,TENPO#0029,日本橋茅場町店,Darts Bar A's 日本橋茅場町店,91.4,ダーツバー A`s  茅場町tenn,,"Darts Bar A's 日本橋茅場町店, 日本、〒103-0026 東京都中央区日本橋兜町９−２ 兜町第二ビル 2F",,
24,TENPO#0115,神楽坂店,Darts Bar A's 神楽坂店,90.8,ダーツバー A's　清掃　神楽坂,,"Darts Bar A's 神楽坂店, 日本、〒162-0825 東京都新宿区神楽坂１丁目１０ 會田ビル 4F",,
27,TENPO#0083,本店,東京都杉並区上荻1-10-4 広瀬ビル 1階 (もつ吉本店）,92.6,株式会社リディファインダイニング,,東京都杉並区上荻1-10-4 広瀬ビル 1階 (もつ吉本店）,,
29,TENPO#0066,赤塚店,いのこ板橋区赤塚店,89.8,いのこ板橋区赤塚店,,"麺処いのこ 赤塚店, 日本、〒175-0093 東京都板橋区赤塚新町３丁目８−２５",,
31,TENPO#0013,池袋東口店,FEEEP池袋東口店,90.0,方針発表会,,"FEEEP池袋東口店, 日本、〒171-0022 東京都豊島区南池袋１丁目２２−１ 池袋1221ビル 2F",,
32,TENPO#0071,大勝軒まるいち 新宿東南口店,大勝軒まるいち新宿東南口店,100.0,大勝軒まるいち新宿西口　ファンベルト交換　松永さん立ち会い,,"大勝軒まるいち新宿東南口店, 日本、〒160-0022 東京都新宿区新宿３丁目３４−３",,
33,TENPO#0107,とんかつさくら,とんかつさくら　茅場町,90.0,レンジフードシロッコファン取り付け,,とんかつさくら　茅場町,,
34,TENPO#0066,赤塚店,・住所：東京都板橋区赤塚新町3-8-25 (麺処いのこ赤塚店）,93.0,麺処いのこ　FS沖さん営業,,"麺処いのこ 赤塚店, 日本、〒175-0093 東京都板橋区赤塚新町３丁目８−２５",,
35,TENPO#0057,弐,〒105-0004 東京都港区新橋３丁目１５−８ 精工ビル B1F（魚焼男　弐）,94.6,株式会社オン・ザ・プラネット,,〒105-0004 東京都港区新橋３丁目１５−８ 精工ビル B1F（魚焼男　弐）,,
36,TENPO#0020,モンキーツリー 店舗未設定,モンキーツリー,89.4,モンキーツリー　定期清掃/ラグ交換,,モンキーツリー馬喰町,,
37,TENPO#0053,新橋店,全てのゴミを魚豪商コダマ新橋店へ,91.2,ゴミ回収依頼　to ユウジ,,,,
39,TENPO#0080,Mahaloh Import Shop,Mahaloh Import Shop,100.0,【スポット清掃】Mahaloh Import Shop,,"Mahaloh Import Shop, 日本、〒230-0041 神奈川県横浜市鶴見区潮田町３丁目１４２−５",,
42,TENPO#0083,本店,麺屋武一　本店,89.2,【営業訪問】麺屋武一　本店,,"濃厚鶏そば 麺屋武一, 日本、〒105-0004 東京都港区新橋３丁目６−１３",,
43,TENPO#0042,麹町店,デイジー麹町店,89.4,デイジー麹町店　定期清掃,,"デイジイ 麹町店, 日本、〒102-0083 東京都千代田区麹町４丁目３−２２ 紅谷ビル",,
45,TENPO#77f42e59665b,N,けいちゃんと和泉兄弟SONGSGIFT,91.8,けいちゃんと和泉兄弟SONGSGIFT,,,,
46,TENPO#0057,弐,魚焼男 弐,88.8,株式会社オン・ザ・プラネット　トイレつまり除去,,"魚焼男 弐, 日本、〒105-0004 東京都港区新橋３丁目１５−８ 精工ビル B1F",,
49,TENPO#0089,北千住店,北海道らーめん みそ熊 北千住店,90.8,【スポット清掃】北海道ラーメンみそ熊　北千住 (2日/3日分),,"北海道らーめん みそ熊 北千住店, 日本、〒120-0034 東京都足立区千住３丁目３１",,
52,TENPO#0116,西麻布店,ニクアザブ西麻布店　再ワックス,90.8,ニクアザブ西麻布店　再ワックス,,ニクアザブ西麻布店,,
53,TENPO#0115,神楽坂店,Darts Bar A's 神楽坂店,90.8,ダーツバー A's　清掃　神楽坂,,"Darts Bar A's 神楽坂店, 日本、〒162-0825 東京都新宿区神楽坂１丁目１０ 會田ビル 4F",,
56,TENPO#0026,高円寺店,ダーツバー A's　高円寺店,90.2,ダーツバー A's　清掃　高円寺,,ダーツバー A's　高円寺店,,
58,TENPO#0095,カイロライン 国分寺整体院,カイロライン国分寺整体院,100.0,エアコン分解洗浄　カイロライン国分寺整体院,,"カイロライン国分寺整体院, 日本、〒185-0012 東京都国分寺市本町２丁目９−８ 2F",,
64,TENPO#0053,新橋店,ピッツェリア ドォーロ 新橋店,90.6,株式会社メティウスフーズ,,"ピッツェリア ドォーロ 新橋店, 日本、〒105-0004 東京都港区新橋５丁目１８−１ 新橋パークサイドビル 1F",,
65,TENPO#0025,大塚店,ダーツバー A'S 大塚店　再,90.2,ダーツバー A'S 大塚店　再清掃,,,,
67,TENPO#0019,火鍋 小肥羊 銀座店,火鍋 小肥羊 銀座店 しゃおふぇいやん,91.2,銀座小肥羊　ネズミ駆除,,"火鍋 小肥羊 銀座店 しゃおふぇいやん, 日本、〒104-0061 東京都中央区銀座２丁目６−９ ＧＩＮＺＡ２６９ 5F",,
68,TENPO#0053,新橋店,株式会社メティウスフーズ　ピッツェリア ドォーロ 新橋店,92.2,株式会社メティウスフーズ　ピッツェリア ドォーロ 新橋店,,"ピッツェリア ドォーロ 新橋店, 日本、〒105-0004 東京都港区新橋５丁目１８−１ 新橋パークサイドビル 1F",,
71,TENPO#0089,北千住店,hair resort Ai 北千住店 【ヘアリゾートエーアイ】,93.2,HotPepper Beautyのサロン予約,,"hair resort Ai 北千住店 【ヘアリゾートエーアイ】, 東京都足立区千住旭町11-7北千住第2平野ビル, JP",,
76,TENPO#0025,大塚店,ダーツバー A's　　大塚店,90.0,ダーツバー A's　清掃　大塚店,,ダーツバー A's　大塚店,,
84,TENPO#0037,ラゾーナ川崎,ラゾーナ川崎（韓美膳の店舗は4階屋外）　の地下一階の駐車場,93.2,【スポット】ラゾーナ川崎　害虫駆除/ゴミ回収,,"韓美膳(ハンビジェ) 川崎ラゾーナプラザ店, 日本、〒212-8576 神奈川県川崎市幸区堀川町７２−１ ラゾーナ川崎プラザ 4F",,
87,TENPO#0101,新橋総本店,ホルモン屋だん 新橋総本店,90.4,ホルモン屋だん新橋店、　ルームエアコン清掃4台,,"ホルモン屋だん 新橋総本店, 日本、〒105-0004 東京都港区新橋４丁目１４−３",,
91,TENPO#0083,本店,プラネット　魚焼男新橋本店,90.4,株式会社オン・ザ・プラネット　魚焼男新橋本店,,"魚焼男 新橋本店, 日本、〒105-0004 東京都港区新橋３丁目５−１３ 大興ビル B１F",,
92,TENPO#0083,本店,富士屋本店　日本橋日程,90.0,富士屋本店　日本橋日程,,"富士屋本店 日本橋浜町, 日本、〒103-0007 東京都中央区日本橋浜町２丁目２４−２",,
96,TENPO#0020,モンキーツリー 店舗未設定,モンキーツリー,89.4,モンキーツリー　清掃,,モンキーツリー馬喰町,,
99,TENPO#0025,大塚店,Darts Bar A's 大塚店,90.6,ダーツバー A's　清掃　大塚店,,"Darts Bar A's 大塚店, 日本、〒170-0004 東京都豊島区北大塚２丁目６−１０ ST1ビル 地下１階",,
100,TENPO#0067,平和台店,麺処いのこ平和台店,89.8,いのこ平和台　現地調査,,"麺処いのこ平和台店, 日本、〒179-0083 東京都練馬区平和台２丁目５２−８",,
101,TENPO#0040,五反田店,食べ放題 インドカレー maya（マヤ）五反田店,92.0,【店舗】ネパール・インド・チベット料理maya,,"食べ放題 インドカレー maya（マヤ）五反田店, 日本、〒141-0022 東京都品川区東五反田５丁目２８−１２ ワタナベボクシングビル Ｂ１Ｆ",,
104,TENPO#0083,本店,たまき新宿2代目本店の現調ダイキン,91.4,たまき新宿2代目本店の現調ダイキン,,,,
110,TENPO#0083,本店,株式会社スターツ　串タロー本店,90.0,【現場調査】株式会社スターツ　串タロー本店,,"〒160-0022
東京都新宿区新宿3-35-10 朝賀ビル2F",,
118,TENPO#0084,大井町店,ニーハオ食品株式会社　大井町店　現地調査,90.8,ニーハオ食品株式会社　大井町店　現地調査,,ニーハオ大井町店,,
119,TENPO#0031,鮨 輝らく,輝らく,88.6,飯田橋　輝らく　堀題地社長,,"輝らく, 日本、〒162-0825 東京都新宿区神楽坂３丁目１ クレール神楽坂３",,
125,TENPO#77f42e59665b,N,Japanese Bar Inoshikacho 猪鹿蝶,93.0,長田光司　現地調査,,"Japanese Bar Inoshikacho 猪鹿蝶, 日本、〒160-0021 東京都新宿区歌舞伎町１丁目１−１０ 2F",,
130,TENPO#0026,高円寺店,ダーツバー A's　高円寺店,90.2,ダーツバー A's　清掃　高円寺　梅岡定期清掃,,ダーツバー A's　高円寺店,,
131,TENPO#0025,大塚店,ダーツバー A's　　大塚店,90.0,ダーツバー A's　清掃　大塚店,,ダーツバー A's　大塚店,,
132,TENPO#0083,本店,富士屋本店　日本橋　追加発注棚制作,91.0,富士屋本店　日本橋　追加発注棚制作,,"富士屋本店 日本橋浜町, 日本、〒103-0007 東京都中央区日本橋浜町２丁目２４−２",,
133,TENPO#0083,本店,富士屋本店　日本橋浜町のマンションの502から,92.4,富士屋本店　冷蔵庫 代々木移動　不用品回収,,富士屋本店　日本橋,,
145,TENPO#0101,新橋総本店,ホルモン屋だん 新橋総本店,90.4,ホルモン屋だん新橋店、　ロースター清掃4台,,"ホルモン屋だん 新橋総本店, 日本、〒105-0004 東京都港区新橋４丁目１４−３",,
148,TENPO#77f42e59665b,N,https://us06web.zoom.us/j/88075947591?pwd=pQEXwRjtMabb6hW7DKq7QqNdlMpXsn.1,98.0,縁結び,,https://us06web.zoom.us/j/88075947591?pwd=pQEXwRjtMabb6hW7DKq7QqNdlMpXsn.1,,
151,TENPO#0019,火鍋 小肥羊 銀座店,火鍋 小肥羊 銀座店 しゃおふぇいやん,91.2,銀座小肥羊　ボード施工,,"火鍋 小肥羊 銀座店 しゃおふぇいやん, 日本、〒104-0061 東京都中央区銀座２丁目６−９ ＧＩＮＺＡ２６９ 5F",,
152,TENPO#0082,別館,蒲田ニーハオ別館のキーボックスに５店舗分の鍵が入ってます。,93.6,ニーハオ大森店,,"ニイハオ 大森店, 日本、〒143-0016 東京都大田区大森北１丁目２−１",,
158,TENPO#0071,大勝軒まるいち 新宿東南口店,大勝軒まるいち新宿東南口店,100.0,大勝軒 まるいち 新宿東南口店　現地調査,,"大勝軒まるいち新宿東南口店, 日本、〒160-0022 東京都新宿区新宿３丁目３４−３",,
160,TENPO#0083,本店,本店、新店舗、セントラルキッチン(1，2F)、従業員控室、池袋店,93.2,【商談】鬼金棒　本店,,"カラシビ味噌らー麺 鬼金棒 神田本店, 日本、〒101-0044 東京都千代田区鍛冶町２丁目１０−９",,
162,TENPO#77f42e59665b,N,株式会社goonies,89.4,株式会社goonies,,東京都北区赤羽1-18-3 ( bar yellow),,
168,TENPO#0068,神田南口店,馬力 神田南口店,89.4,東京支店　asada 高圧洗浄デモ,,"馬力 神田南口店, 日本、〒103-0022 東京都中央区日本橋室町４丁目２−１",,
169,TENPO#0015,池袋店,SMILE BASE CAFE 池袋店,91.2,池袋　smilbase 査察,,"SMILE BASE CAFE 池袋店, 日本、〒171-0021 東京都豊島区西池袋３丁目２５−１１ CIC IKEBUKURO BUILビルB1階",,
172,TENPO#0025,大塚店,ダーツバー A's　　大塚店,90.0,ダーツバー A's　清掃　大塚店,,ダーツバー A's　大塚店,,
174,TENPO#0027,水道橋店,ダーツバーA`s 水道橋店,90.4,ダーツバー A's　清掃　水道橋,,ダーツバーA`s 水道橋店,,
178,TENPO#0092,上野駅前店,カラオケ上野駅前店　修繕なーろん,91.0,カラオケ上野駅前店　修繕なーろん,,,,
179,TENPO#77f42e59665b,N,鶏ポタラーメンTHANK 大門,90.8,【営業訪問】ラーメンTHANK 大門店,,"鶏ポタラーメンTHANK 大門, 日本、〒105-0012 東京都港区芝大門２丁目１−１３ 芝大友ビル 1F",,
180,TENPO#77f42e59665b,N,株式会社CANVAS,89.2,株式会社CANVAS,,"板前バル 品川シーズンテラス店, 日本、〒108-0075 東京都港区港南１丁目２−７０",,
184,TENPO#0053,新橋店,メディウスフ−ズ新橋店,90.2,【営業】メディウスフ−ズ新橋店,,,,
185,TENPO#0010,神田店,デニーロ神田店,89.4,デニーロ 今村　定期清掃,,"デニーロ神田店, 日本、〒101-0054 東京都千代田区神田錦町３丁目１４−３ 神田錦町ビル 1階",,
186,TENPO#0018,西新宿店,デイジイ西新宿店 (DAISY),90.6,デイジイ西新宿　査察　三吉さん紹介,,"デイジイ西新宿店 (DAISY), 日本、〒160-0023 東京都新宿区西新宿６丁目１１−３ Dタワー西新宿 １階",,
187,TENPO#0010,神田店,ニーハオ 神田店,89.4,ニーハオ 神田店,,"ニイハオ 神田店, 日本、〒101-0044 東京都千代田区鍛冶町１丁目６−２ 林ビル B1F",,
190,TENPO#0111,すし土風炉 登戸店,すし土風炉 登戸店,100.0,ラムラ 床清掃補修　現地調査,,"すし土風炉 登戸店, 日本、〒214-0014 神奈川県川崎市多摩区登戸３４６７−１ 橘ビル 3F",,
