event_index,summary,location,best_score,candidate_names
1,清水ん,,28.6,清水ん
3,カラオケパセラ　上野駅前 修繕,"カラオケパセラ上野公園前店, 日本、〒110-0005 東京都台東区上野２丁目１４−３０ パセラリゾーツ上野公園前店４Ｆ",44.4,カラオケパセラ　上野駅前 修繕 | カラオケパセラ上野公園前店
4,お好みキング査察,"鉄板居酒屋 お好みキング, 日本、〒102-0072 東京都千代田区飯田橋３丁目３−９ VERDAビル 1F",27.3,お好みキング査察 | 鉄板居酒屋 お好みキング | お店に着きましたら中へお入りいただきたく存じます。
5,【店舗】東京レストランホールディングス株式会社,東京都港区麻布十番１丁目３−９ ＴＢＣ麻布　1階　（マンシーズ東京）,32.0,東京レストランホールディングス株式会社 | 東京都港区麻布十番１丁目３−９ ＴＢＣ麻布　1階　（マンシーズ東京）
8,村山はるかさんとご飯,,23.5,村山はるかさんとご飯
9,獪岳と善逸併せ♥,,13.3,獪岳と善逸併せ♥
10,健康診断14:00,,0.0,健康診断14:00
12,【店舗】株式会社2TAPS（ツータップス）,〒154-0004 東京都世田谷区太子堂２丁目２２−９ 中野ビル 1F（三茶呑場マルコ）,24.0,株式会社2TAPS（ツータップス） | 〒154-0004 東京都世田谷区太子堂２丁目２２−９ 中野ビル 1F（三茶呑場マルコ）
13,洗濯依頼,,0.0,洗濯依頼
15,株式会社とんでんホールディングス（株式会社長栄商事）,埼玉県さいたま市南区白幡1-13-2,26.7,株式会社とんでんホールディングス（株式会社長栄商事） | 埼玉県さいたま市南区白幡1-13-2 | ・費用感：害虫駆除のみで1店舗月2~3万、清掃込だともう少しかかっているはず
16,愛宕板前寿司　ネズミ駆除メイン,"東京寿司 ITAMAE SUSHI 愛宕店, 日本、〒105-0001 東京都港区虎ノ門３丁目２１−５ 愛宕グリーンヒルズプラザ1F",34.3,愛宕板前寿司　ネズミ駆除メイン | 東京寿司 ITAMAE SUSHI 愛宕店
17,Webお打ち合わせ_AddBox 森尾,https://us06web.zoom.us/j/86090555464?pwd=AmK3pageP9WtGz0MGPdgWylQ1q36Dm.1,23.5,Webお打ち合わせ_AddBox 森尾 | https://us06web.zoom.us/j/86090555464?pwd=AmK3pageP9WtGz0MGPdgWylQ1q36Dm.1
19,株式会社三宝 稲村様 x 正田和輝プライベート: ３０分　お打ち合わせ,,16.2,株式会社三宝 稲村様 x 正田和輝プライベート: ３０分　お打ち合わせ
20,電気工事　朝霞台駅,,20.0,電気工事　朝霞台駅
21,アドバイザー研修,,22.2,アドバイザー研修
22,エアコン取付,,20.0,エアコン取付
23,新しい作業車取りに行く,,20.0,新しい作業車取りに行く
25,商品ちしき共有,,13.3,商品ちしき共有
26,予定,,20.0,予定
28,ごはん,,20.0,ごはん
30,もあちゃんと遊ぶ,,13.3,もあちゃんと遊ぶ
38,梅岡浜松出張,,22.2,梅岡浜松出張
40,板前寿司愛宕ネズミ回収,,52.2,板前寿司愛宕ネズミ回収
41,ダーツバー A's　清掃　茅場町店,ダーツバー A's　茅場町店,44.4,ダーツバー A's　　茅場町店 | ダーツバー A's　茅場町店
44,大勝軒現調　@沖,,31.6,大勝軒現調　@沖
47,開ける,,14.3,開ける
48,スモールズ保健所確認,,21.1,スモールズ保健所確認
50,輝らく　分割請求送付,,46.2,輝らく　分割請求送付
51,チームラボ行く,,23.5,チームラボ行く
54,引っ越し当日ボブさん来てくれる,,18.2,引っ越し当日ボブさん来てくれる
55,【店舗】肉屋食堂 たけうち,"肉屋食堂たけうち, 日本、〒124-0024 東京都葛飾区新小岩１丁目３２−５",30.8,肉屋食堂 たけうち | 肉屋食堂たけうち
57,いずみちゃん,,21.1,いずみちゃん
59,かおりさんと泊まり,,35.3,かおりさんと泊まり
60,【現地調査】スモールズ　冷蔵庫修繕,,21.1,スモールズ　冷蔵庫修繕
61,業務用エアコン輝らく取り付け,,33.3,業務用エアコン輝らく取り付け
62,オンザプラネットエアコン清掃　中島さん,,25.0,オンザプラネットエアコン　中島さん
63,【定期隔週清掃】アトミック　bar,,35.3,アトミック　bar
66,【現地調査】ダイニングエッジ楽が気,,31.6,ダイニングエッジ楽が気
69,餃子楼フィルター納品,,17.6,餃子楼フィルター納品
70,閑野ディズニー,,28.6,閑野ディズニー
72,要工業　小串さん打ち合わせ,,14.3,要工業　小串さん打ち合わせ
73,いずみちゃん,,21.1,いずみちゃん
74,プレックス面接,,23.5,プレックス面接
75,会社休み,,0.0,会社休み
77,ハイゼット荷台清掃,"https://www.google.com/maps/place/%E3%80%92333-0848+%E5%9F%BC%E7%8E%89%E7%9C%8C%E5%B7%9D%E5%8F%A3%E5%B8%82%E8%8A%9D%E4%B8%8B%EF%BC%93%E4%B8%81%E7%9B%AE%EF%BC%91/@35.8386643,139.6968175,17z/data=!3m1!4b1!4m6!3m5!1s0x601894d72545af93:0xf154ec24dc90991a!8m2!3d35.8387034!4d139.6992743!16s%2Fg%2F11b8vd3vn8?entry=ttu&g_ep=EgoyMDI1MTExOC4wIKXMDSoASAFQAw%3D%3D",26.7,ハイゼット荷台 | https://www.google.com/maps/place/%E3%80%92333-0848+%E5%9F%BC%E7%8E%89%E7%9C%8C%E5%B7%9D%E5%8F%A3%E5%B8%82%E8%8A%9D%E4%B8%8B%EF%BC%93%E4%B8%81%E7%9B%AE%EF%BC%91/@35.8386643
78,たまき新宿２号店 　エアコン修理工事,,48.0,たまき新宿２号店 　エアコン修理工事
79,電気工事　朝霞台駅,,20.0,電気工事　朝霞台駅
80,ニーハオ大井町　ワックス清掃,,40.0,ニーハオ大井町　ワックス
81,おずちゃん家遊ぶ,,13.3,おずちゃん家遊ぶ
82,柴ご飯,,0.0,柴ご飯
83,tacomaru03@gmail.comディズニープラス解約,,31.1,tacomaru03@gmail.comディズニープラス解約
85,佐藤さん訪問,,20.0,佐藤さん訪問
86,ラットシート５連結したものを渡す３セット　ネズミ駆除を目的とした定期清掃,"東京寿司 ITAMAE SUSHI 愛宕店, 日本、〒105-0001 東京都港区虎ノ門３丁目２１−５ 愛宕グリーンヒルズプラザ1F",34.3,ラットシート５連結したものを渡す３セット　ネズミ駆除を目的とした | 東京寿司 ITAMAE SUSHI 愛宕店
88,株式会社弥平,横浜市中区野毛町2-102 川本ビル3階,33.3,株式会社弥平 | 横浜市中区野毛町2-102 川本ビル3階
89,都内に移動,,0.0,都内に移動
90,株式会社　SIART,東京都文京区本郷2-39-10（スペインバルカリエンテ）,42.9,株式会社　SIART | 東京都文京区本郷2-39-10（スペインバルカリエンテ）
93,輝らく　カメラ回収,,50.0,輝らく　カメラ回収
94,休み,,0.0,休み
95,ゴミ回収　さかなさま,,58.8,ゴミ回収　さかなさま
