file_name,file_size,score,strategy,tenpo_id,tenpo_name,torihikisaki_id,torihikisaki_name,zip_path
株式会社千寿菊_ミセサポ利用者登録申込書.docx,10522,92.0,torihikisaki,TENPO#0102,新橋バーラウンジ御殿,TORI#0048,株式会社千寿菊,店舗ごと契約書/株式会社千寿菊_ミセサポ利用者登録申込書.docx
【スポット】株式会社バレンタインブルーコーポレーション _ミセサポ利用者登録申込書.docx,10808,92.0,torihikisaki,TENPO#0139,日本橋玉ゐ本店,TORI#0005,株式会社バレンタインブルーコーポレーション,店舗ごと契約書/【スポット】株式会社バレンタインブルーコーポレーション _ミセサポ利用者登録申込書.docx
御座敷天婦羅　神楽坂 天孝_利用者申込書.docx.docx,10516,92.0,tenpo,TENPO#0108,御座敷天婦羅　神楽坂 天孝,TORI#0051,御座敷天婦羅　神楽坂 天孝,店舗ごと契約書/御座敷天婦羅　神楽坂 天孝_利用者申込書.docx.docx
ゴーゴーカレー 新宿東口駅前スタジアム_ミセサポ利用者登録申込書.docx,11165,92.0,tenpo,TENPO#0075,新宿東口駅前スタジアム,TORI#0035,株式会社 ゴーゴーカレーグループ,店舗ごと契約書/ゴーゴーカレー 新宿東口駅前スタジアム_ミセサポ利用者登録申込書.docx
THE MARK GRAND HOTEL_ミセサポ利用者登録申込書（料金表付き）.docx,399706,92.0,tenpo,TENPO#77f42e59665b,N,TORI#950551f38416,T,店舗ごと契約書/THE MARK GRAND HOTEL_ミセサポ利用者登録申込書（料金表付き）.docx
ミセサポ利用規約（株式会社Goonies）.docx,23812,92.0,tenpo,TENPO#77f42e59665b,N,TORI#950551f38416,T,店舗ごと契約書/ミセサポ利用規約（株式会社Goonies）.docx
貝出汁 中華そば 竹祥_ミセサポ利用者登録申込書.docx,10477,92.0,tenpo,TENPO#0064,竹祥,TORI#0028,株式会社テイクユー,店舗ごと契約書/株式会社テイクユー/貝出汁 中華そば 竹祥_ミセサポ利用者登録申込書.docx
北海道らーめん みそ熊　王子店 _ミセサポ利用者登録申込書.docx,11214,92.0,tenpo,TENPO#0088,王子店,TORI#0042,株式会社GRAST,店舗ごと契約書/株式会社GRAST/北海道らーめん みそ熊　王子店 _ミセサポ利用者登録申込書.docx
【スポット】シュハスカリア キ ボン！新虎通りcore店_ミセサポ利用者登録申込書.docx,10528,92.0,tenpo,TENPO#0136,新虎通りcore店,TORI#0074,株式会社goonies,店舗ごと契約書/株式会社キボン/【スポット】シュハスカリア キ ボン！新虎通りcore店_ミセサポ利用者登録申込書.docx
中華食堂 一番館 東陽町店_中華食堂 一番館 新小岩店_ミセサポ利用者登録申込書（料金表付き）.docx のコピー.docx,10543,92.0,tenpo,TENPO#0012,新小岩店,TORI#0010,株式会社友進,店舗ごと契約書/株式会社友進/中華食堂 一番館 東陽町店_中華食堂 一番館 新小岩店_ミセサポ利用者登録申込書（料金表付き）.docx のコピー.docx
泡盛と沖縄地料理 龍泉 ラゾーナ川崎店_ミセサポ利用者登録申込書.docx,11210,92.0,tenpo,TENPO#0037,ラゾーナ川崎,TORI#0020,株式会社 東亜フードサービス,店舗ごと契約書/JCC株式会社/泡盛と沖縄地料理 龍泉 ラゾーナ川崎店_ミセサポ利用者登録申込書.docx
楽が気　新橋本店_ミセサポ利用者登録申込書.docx,11166,92.0,tenpo,TENPO#0083,本店,TORI#0041,ニーハオ食品株式会社,店舗ごと契約書/株式会社ダイニングエッジ/楽が気　新橋本店_ミセサポ利用者登録申込書.docx
【スポット】株式会社バレンタインブルーコーポレーションミセサポ利用者登録申込書.docx_,10805,92.0,torihikisaki,TENPO#0139,日本橋玉ゐ本店,TORI#0005,株式会社バレンタインブルーコーポレーション,店舗ごと契約書/株式会社バレンタインブルーコーポレーション/【スポット】株式会社バレンタインブルーコーポレーションミセサポ利用者登録申込書.docx_
大勝軒まるいち 新宿東南口店_ミセサポ利用者登録申込書.docx,11184,92.0,tenpo,TENPO#0071,大勝軒まるいち 新宿東南口店,TORI#0032,株式会社エゴイプセ,店舗ごと契約書/株式会社エゴイプセ/大勝軒まるいち 新宿東南口店_ミセサポ利用者登録申込書.docx
