best_score,best_tenpo_id,best_tenpo_name,best_torihikisaki_name,file_name,reason,zip_path
25.0,TENPO#0134,丸鶏 るいすけ 店舗未設定,㈱ロイヤルストレートフラッシュ,【スポット】テンプレート _ミセサポ利用者登録申込書 のコピー.docx,low_score<84.0,店舗ごと契約書/【スポット】テンプレート _ミセサポ利用者登録申込書 のコピー.docx
15.38,TENPO#0036,ルミネ立川,株式会社 東亜フードサービス,ミセサポ利用規約.docx,low_score<84.0,店舗ごと契約書/ミセサポ利用規約.docx
25.0,TENPO#001,サンプル店舗,サンプル取引先,ミセサポ利用者登録申込書　テンプレート.xlsx,low_score<84.0,店舗ごと契約書/ミセサポ利用者登録申込書　テンプレート.xlsx
19.05,TENPO#0059,ニューサカナヤキオ,株式会社オン・ザ・プラネット,【定期】テンプレート_ミセサポ利用者登録申込書（料金表付き）_.docx,low_score<84.0,店舗ごと契約書/【定期】テンプレート_ミセサポ利用者登録申込書（料金表付き）_.docx
15.38,TENPO#0036,ルミネ立川,株式会社 東亜フードサービス,ミセサポ利用規約.pdf,low_score<84.0,店舗ごと契約書/ミセサポ利用規約.pdf
20.0,TENPO#0134,丸鶏 るいすけ 店舗未設定,㈱ロイヤルストレートフラッシュ,プラチナフィッシュ KAPPO_ミセサポ利用者登録申込書.docx,low_score<84.0,店舗ごと契約書/プラチナフィッシュ KAPPO/プラチナフィッシュ KAPPO_ミセサポ利用者登録申込書.docx
18.18,TENPO#0007,https://www.notion.so泉岳寺駅前店,株式会社テラケン,【スポット】大衆酒屋 てらけん本家 泉岳寺駅前店_ミセサポ利用者登録申込書.docx のコピー のコピー.docx,low_score<84.0,店舗ごと契約書/株式会社テラケン/【スポット】大衆酒屋 てらけん本家 泉岳寺駅前店_ミセサポ利用者登録申込書.docx のコピー のコピー.docx
11.76,TENPO#0004,横浜元町 de 焼肉DOURAKU(どうらく),株式会社たき航グループ,【定期】中国料理 かおたん_ミセサポ利用者登録申込書（料金表付き）.docx,low_score<84.0,店舗ごと契約書/株式会社東神/【定期】中国料理 かおたん_ミセサポ利用者登録申込書（料金表付き）.docx
7.41,TENPO#0036,ルミネ立川,株式会社 東亜フードサービス,【定期】株式会社 鬼金棒_ミセサポ利用者登録申込書（料金表付き） .docx,low_score<84.0,店舗ごと契約書/株式会社 鬼金棒/【定期】株式会社 鬼金棒_ミセサポ利用者登録申込書（料金表付き） .docx
25.81,TENPO#0004,横浜元町 de 焼肉DOURAKU(どうらく),株式会社たき航グループ,【スポット】株式会社ファイブグループ_ミセサポ利用者登録申込書.docx,low_score<84.0,店舗ごと契約書/株式会社ファイブグループ/【スポット】株式会社ファイブグループ_ミセサポ利用者登録申込書.docx
33.33,TENPO#0098,新橋店,株式会社ビック・バン,居酒屋ビック新河岸店_ミセサポ利用者登録申込書.docx,low_score<84.0,店舗ごと契約書/居酒屋ビック/居酒屋ビック新河岸店_ミセサポ利用者登録申込書.docx
22.22,TENPO#0082,別館,ニーハオ食品株式会社,申込書_中華食堂一番館.pdf,low_score<84.0,店舗ごと契約書/株式会社友進/申込書_中華食堂一番館.pdf
36.36,TENPO#0110,MASSIMOTTVIO 店舗未設定,株式会社2M8,2025-09-08.pdf,low_score<84.0,店舗ごと契約書/株式会社テイクユー/2025-09-08.pdf
10.0,TENPO#0130,渋谷円山町店,株式会社がっと,鮨ひのもと_ミセサポ利用者登録申込書.docx,low_score<84.0,店舗ごと契約書/株式会社クラウンセンス/鮨ひのもと_ミセサポ利用者登録申込書.docx
19.51,TENPO#0120,発酵デリカテッセンカフェテリアKouji&ko,株式会社フードアンドパートナーズ,【定期】テンプレート_ミセサポ利用者登録申込書（料金表付き）  のコピー.docx,low_score<84.0,店舗ごと契約書/株式会社ラグーンインターナショナル/【定期】テンプレート_ミセサポ利用者登録申込書（料金表付き）  のコピー.docx
28.57,TENPO#0067,平和台店,合同会社いのこフード,株式会社いのこ_ミセサポ利用者登録申込書.docx,low_score<84.0,店舗ごと契約書/株式会社いのこ/株式会社いのこ_ミセサポ利用者登録申込書.docx
