souko_id,tenpo_id,name,jotai
SOUKO#0001,TENPO#0001,maya 五反田店 ストレージ,yuko
SOUKO#0002,TENPO#0002,ネパール・インド・チベット料理　maya 店舗未設定 ストレージ,yuko
SOUKO#0003,TENPO#0003,西谷店 ストレージ,yuko
SOUKO#0004,TENPO#0004,横浜元町 de 焼肉DOURAKU(どうらく) ストレージ,yuko
SOUKO#0005,TENPO#0005,ただいま変身中 ストレージ,yuko
SOUKO#0006,TENPO#0006,本店 ストレージ,yuko
SOUKO#0007,TENPO#0007,https://www.notion.so泉岳寺駅前店 ストレージ,yuko
SOUKO#0008,TENPO#0008,蕨店 ストレージ,yuko
SOUKO#0009,TENPO#0009,SMITH BURGER CLUB ストレージ,yuko
SOUKO#0010,TENPO#0010,神田店 ストレージ,yuko
SOUKO#0011,TENPO#0011,東陽町店 ストレージ,yuko
SOUKO#0012,TENPO#0012,新小岩店 ストレージ,yuko
SOUKO#0013,TENPO#0013,池袋東口店 ストレージ,yuko
SOUKO#0014,TENPO#0014,渋谷店 ストレージ,yuko
SOUKO#0015,TENPO#0015,池袋店 ストレージ,yuko
SOUKO#0016,TENPO#0016,渋谷駅前店 ストレージ,yuko
SOUKO#0017,TENPO#0017,麹町店 ストレージ,yuko
SOUKO#0018,TENPO#0018,西新宿店 ストレージ,yuko
SOUKO#0019,TENPO#0019,火鍋 小肥羊 銀座店 ストレージ,yuko
SOUKO#0020,TENPO#0020,モンキーツリー 店舗未設定 ストレージ,yuko
SOUKO#0021,TENPO#0021,代々木店 ストレージ,yuko
SOUKO#0022,TENPO#0022,中目黒本店 ストレージ,yuko
SOUKO#0023,TENPO#0023,中野店 ストレージ,yuko
SOUKO#0024,TENPO#0024,中野製作所 まんてん別館 ストレージ,yuko
SOUKO#0025,TENPO#0025,大塚店 ストレージ,yuko
SOUKO#0026,TENPO#0026,高円寺店 ストレージ,yuko
SOUKO#0027,TENPO#0027,水道橋店 ストレージ,yuko
SOUKO#0028,TENPO#0028,神楽坂店 ストレージ,yuko
SOUKO#0029,TENPO#0029,日本橋茅場町店 ストレージ,yuko
SOUKO#0030,TENPO#0030,蕎麦割烹居酒屋　更科天狐 ストレージ,yuko
SOUKO#0031,TENPO#0031,鮨 輝らく ストレージ,yuko
SOUKO#0032,TENPO#0032,麺と肴　担々麺 ペン坊 ストレージ,yuko
SOUKO#0033,TENPO#0033,とく山 店舗未設定 ストレージ,yuko
SOUKO#0034,TENPO#0034,本店 ストレージ,yuko
SOUKO#0035,TENPO#0035,ららぽーと横浜 ストレージ,yuko
SOUKO#0036,TENPO#0036,ルミネ立川 ストレージ,yuko
SOUKO#0037,TENPO#0037,ラゾーナ川崎 ストレージ,yuko
SOUKO#0038,TENPO#0038,青山店 ストレージ,yuko
SOUKO#0039,TENPO#0039,渋谷店 ストレージ,yuko
SOUKO#0040,TENPO#0040,五反田店 ストレージ,yuko
SOUKO#0041,TENPO#0041,らぁ麺はつ穂 店舗未設定 ストレージ,yuko
SOUKO#0042,TENPO#0042,麹町店 ストレージ,yuko
SOUKO#0043,TENPO#0043,新宿店 ストレージ,yuko
SOUKO#0044,TENPO#0044,新橋店 ストレージ,yuko
SOUKO#0045,TENPO#0045,平河町店 ストレージ,yuko
SOUKO#0046,TENPO#0046,ラゾーナ川崎店 ストレージ,yuko
SOUKO#0047,TENPO#0047,南口店 ストレージ,yuko
SOUKO#0048,TENPO#0048,代々木店 ストレージ,yuko
SOUKO#0049,TENPO#0049,新河岸駅前店 ストレージ,yuko
SOUKO#0050,TENPO#0050,ホルモンのマンモス 店舗未設定 ストレージ,yuko
SOUKO#0051,TENPO#0051,大井町店 ストレージ,yuko
SOUKO#0052,TENPO#0052,錦糸町店 ストレージ,yuko
SOUKO#0053,TENPO#0053,新橋店 ストレージ,yuko
SOUKO#0054,TENPO#0054,トオダ ストレージ,yuko
