yagou_id,torihikisaki_id,name,jotai
YAGOU#0001,TORI#0001,ネパール・インド・チベット料理　maya,yuko
YAGOU#0002,TORI#0002,神奈川回転寿司ぐるめ亭,yuko
YAGOU#0003,TORI#0003,元町 de 焼肉  DOURAKU,yuko
YAGOU#0004,TORI#0004,ただいま変身中,yuko
YAGOU#0005,TORI#0005,日本橋 玉ゐ,yuko
YAGOU#0006,TORI#0006,大衆酒屋 てらけん本家,yuko
YAGOU#0007,TORI#0007,https://nikuya-takeuchi.com/,yuko
YAGOU#0008,TORI#0008,https://nikuya-takeuchi.com/,yuko
YAGOU#0009,TORI#0009,デニーロ,yuko
YAGOU#0010,TORI#0010,中華一番,yuko
YAGOU#0011,TORI#0011,0秒レモンサワー,yuko
YAGOU#0012,TORI#0011,0秒レモンサワー 仙台ホルモン焼肉酒場 ときわ亭,yuko
YAGOU#0013,TORI#0011,CRAFT CHEESE MARKET,yuko
YAGOU#0014,TORI#0012,CRAFT CHEESE MARKET,yuko
YAGOU#0015,TORI#0013,火鍋 小肥羊,yuko
YAGOU#0016,TORI#0014,モンキーツリー,yuko
YAGOU#0017,TORI#0015,炭火焼きホルモンまんてん,yuko
YAGOU#0018,TORI#0015,炉端居酒屋,yuko
YAGOU#0019,TORI#0016,A’s ダーツバー(Darts Bar A's ),yuko
YAGOU#0020,TORI#0016,A’s ダーツバー(Darts Bar A's,yuko
YAGOU#0021,TORI#0017,A’s ダーツバー(Darts Bar A's ),yuko
YAGOU#0022,TORI#0018,A’s ダーツバー(Darts Bar A's ),yuko
YAGOU#0023,TORI#0019,とく山,yuko
YAGOU#0024,TORI#0019,分とく山,yuko
YAGOU#0025,TORI#0020,韓美膳（ハンビジェ）,yuko
YAGOU#0026,TORI#0021,クアアイナ,yuko
YAGOU#0027,TORI#0022,らぁ麺はつ穂,yuko
YAGOU#0028,TORI#0022,ピッツェリア ドォーロ,yuko
YAGOU#0029,TORI#0022,PASTA of LIFE,yuko
YAGOU#0030,TORI#0022,エノテカ　ドォーロ,yuko
YAGOU#0031,TORI#0023,泡盛と沖縄地料理 龍泉,yuko
YAGOU#0032,TORI#0024,立川酒場 魚丸,yuko
YAGOU#0033,TORI#0025,武蔵野油学会,yuko
YAGOU#0034,TORI#0025,居酒屋ビッグ,yuko
YAGOU#0035,TORI#0026,ホルモンのマンモス,yuko
YAGOU#0036,TORI#0026,魚豪商コダマ,yuko
YAGOU#0037,TORI#0026,魚無双,yuko
YAGOU#0038,TORI#0026,焼肉男,yuko
YAGOU#0039,TORI#0026,魚焼男,yuko
YAGOU#0040,TORI#0026,新燻男,yuko
YAGOU#0041,TORI#0026,新魚焼男,yuko
YAGOU#0042,TORI#0027,新魚焼男,yuko
YAGOU#0043,TORI#0028,貝出汁 中華そば,yuko
YAGOU#0044,TORI#0029,貝出汁 中華そば,yuko
YAGOU#0045,TORI#0030,麺処いのこ,yuko
YAGOU#0046,TORI#0030,麵処いのこ,yuko
YAGOU#0047,TORI#0031,麵処いのこ,yuko
YAGOU#0048,TORI#0032,大勝軒,yuko
YAGOU#0049,TORI#0033,富士屋本店,yuko
YAGOU#0050,TORI#0034,富士屋本店,yuko
YAGOU#0051,TORI#0035,ゴーゴーカレー,yuko
YAGOU#0052,TORI#0036,ゴーゴーカレー,yuko
YAGOU#0053,TORI#0037,ゴーゴーカレー,yuko
