tenpo_id,tenpo_name,status,place_id,phone,address,fields
TENPO#0101,新橋総本店,NO_CHANGE,ChIJm8xbEOqLGGARr0VlAEeGdBs,03-3437-1312,日本、〒105-0004 東京都港区新橋４丁目１４−３,
TENPO#0110,MASSIMOTTVIO 店舗未設定,NO_MATCH,,,,
TENPO#0108,御座敷天婦羅　神楽坂 天孝,NO_CHANGE,ChIJjdT5wlqMGGARiq-C5_jJLvA,03-3269-1414,日本、〒162-0825 東京都新宿区神楽坂３丁目１,
TENPO#0083,本店,NO_CHANGE,ChIJB_uD2R-TGGARBhiD7strsuw,070-5576-0115,日本、〒115-0045 東京都北区赤羽１丁目３９−５ ライオンビル明晃館 201,
TENPO#0023,中野店,NO_CHANGE,ChIJWbVn_MvzGGAR1vEunGHs_V8,03-3228-4129,日本、〒164-0001 東京都中野区中野５丁目５４−６,
TENPO#0085,大森店,NO_CHANGE,ChIJJXuDejJgGGARt-3o-xOkQ8A,,日本、〒143-0016 東京都大田区大森北１丁目２−１,
TENPO#0053,新橋店,NO_CHANGE,ChIJNQUS1MGLGGARGY6SNFVcNag,03-3432-8222,日本、〒105-0004 東京都港区新橋５丁目１８−１ 新橋パークサイドビル 1F,
TENPO#0084,大井町店,NO_CHANGE,ChIJiYXdTXyKGGARdKXRB-co690,03-5709-7777,日本、〒140-0014 東京都品川区大井１丁目２−１,
TENPO#0078,新橋本店,NO_CHANGE,ChIJ3UrA81uLGGARO14tTFIa8-8,03-6380-4820,日本、〒105-0004 東京都港区新橋４丁目１９−１ THビル 1F,
TENPO#0123,神田小川町店 店舗未設定,NO_CHANGE,ChIJuU9ESxuMGGARkEJ5ciTv6nA,03-5289-3101,日本、〒101-0052 東京都千代田区神田小川町１丁目２,
TENPO#0042,麹町店,NO_CHANGE,ChIJ3zrCRXuMGGAR4fk7q7L0ydQ,03-3261-0082,日本、〒102-0083 東京都千代田区麹町４丁目３−１０ 小倉ビル 1F,
TENPO#0014,渋谷店,NO_CHANGE,ChIJvYmKrAyLGGARb9tOR1qC5W0,03-5422-3395,日本、〒150-0043 東京都渋谷区道玄坂１丁目５−５ 藤木ビル 2F,
TENPO#0063,大衆串焼き酒場こがね,NO_CHANGE,ChIJG59UXYuWGGARkCgz8vLP6fY,050-5484-9256,日本、〒343-0845 埼玉県越谷市南越谷１丁目２０−４ 岩淵ビル 1F,
TENPO#0010,神田店,NO_CHANGE,ChIJaXDbw_yNGGAR5fhw2xQMhDY,03-3256-0886,日本、〒101-0044 東京都千代田区鍛冶町１丁目６−２ 林ビル B1F,
TENPO#0076,焼肉 松の屋,NO_CHANGE,ChIJQUCijYHzGGARCGSB9KyN94M,03-3427-4338,日本、〒154-0017 東京都世田谷区世田谷３丁目１−１０,
TENPO#a5ac0abc6dfe,N2,NO_CHANGE,ChIJOUqFX5uSGGARxPlSTwVhnC0,03-3916-2701,日本、〒114-0023 東京都北区滝野川７丁目２−４,
TENPO#0068,神田南口店,NO_CHANGE,ChIJiR1mRACMGGARNeSOxLbMI4k,03-3516-8929,日本、〒103-0022 東京都中央区日本橋室町４丁目２−１,
TENPO#0082,別館,NO_CHANGE,ChIJJXuDejJgGGARt-3o-xOkQ8A,,日本、〒143-0016 東京都大田区大森北１丁目２−１,
