会社名,ブランド名,店舗名,担当者（代表者）紹介者,ログインメールアドレス,電話番号,URL,"獲得者(ミセサポ) ",担当者(ミセサポ),店舗数,ステータス,ニーズ内容,清掃頻度,紹介者,実施項目
株式会社マエザワフーズ　,"神奈川回転寿司ぐるめ亭 ",西谷店,田中,tanaka@maezawafoods.co.jp,045(584)2124(代表) 携帯090(5319)5565,,,正田和輝,,稼働中,,,,
株式会社たき航グループ,元町 de 焼肉  DOURAKU,横浜元町 de 焼肉DOURAKU(どうらく),,,,,,正田和輝,,契約作業中,下引きダクト清掃,スポット,,
株式会社バレンタインブルーコーポレーション,日本橋 玉ゐ,本店,藤井 健,,,http://anago-tamai.com/,生井剛,平鋭未,4,稼働中,,,,
株式会社テラケン,"大衆酒屋 てらけん本家 ",https://www.notion.so泉岳寺駅前店,輿石部長/高見沢課長・平沢店長・SV柴崎,koshiisi@teraken.co.jp,03-5687-1280,https://www.sakusui.jp/terakenhonke/,沖 智弘,平鋭未,14店舗＋その他業態3店舗,稼働中,,スポット清掃,,
株式会社肉屋たけうちコーポレーション,https://nikuya-takeuchi.com/,蕨店,武内裕太,nikuyashokudou1@gmail.com,09080073462,https://nikuya-takeuchi.com/,生井剛,生井剛,3店舗,契約作業中,定期清掃月35000円,毎月清掃,,
有限会社ティーアンドティー,,SMITH BURGER CLUB,田野邊達郎,tandt19850922@yahoo.co.jp,,https://smithburgerclub-akasaka.foodre.jp/,生井剛,生井剛,,契約作業中,,毎月清掃,,
株式会社ティーアンドティー,デニーロ,神田店,今村店長,shinpei9600@gmail.com,,,正田和輝,平鋭未,2店舗,稼働中,,毎月清掃,,
株式会社友進,中華一番,東陽町店,金田社長,kaneda@yushin.group,03-6231-4556,https://yushin.blog/,正田和輝,平鋭未,2,稼働中,,毎月清掃,,
"株式会社友進 ",中華一番,新小岩店,金田社長,kaneda@yushin.group,03-6231-4556,,正田和輝,平鋭未,2,稼働中,,毎月清掃,,
GOSSO株式会社," 0秒レモンサワー"," 池袋東口店",國吉さん,kuniyoshi@gosso.co.jp,03-5422-3395,https://gosso.co.jp/,正田和輝,平鋭未,,稼働中,,毎月清掃,,
